source: 2207.11966
label: DarkSide50
year: 2022
color: #f032e6
label_xpos: 1.0
label_ypos: 8.014e-40
1.206; 5.014e-40
1.220; 4.045e-40
1.233; 3.325e-40
1.248; 2.689e-40
1.264; 2.194e-40
1.281; 1.764e-40
1.300; 1.421e-40
1.318; 1.168e-40
1.339; 9.486e-41
1.359; 7.696e-41
1.380; 6.240e-41
1.404; 5.006e-41
1.432; 4.068e-41
1.461; 3.284e-41
1.492; 2.645e-41
1.521; 2.159e-41
1.551; 1.760e-41
1.582; 1.419e-41
1.617; 1.165e-41
1.653; 9.711e-42
1.691; 8.118e-42
1.729; 6.781e-42
1.769; 5.654e-42
1.809; 4.768e-42
1.850; 4.119e-42
1.892; 3.556e-42
1.935; 3.077e-42
1.979; 2.658e-42
2.023; 2.323e-42
2.069; 2.054e-42
2.116; 1.813e-42
2.164; 1.601e-42
2.214; 1.417e-42
2.264; 1.265e-42
2.315; 1.131e-42
2.368; 1.014e-42
2.421; 9.091e-43
2.476; 8.187e-43
2.533; 7.399e-43
2.590; 6.698e-43
2.649; 6.063e-43
2.709; 5.503e-43
2.770; 5.008e-43
2.833; 4.573e-43
2.898; 4.183e-43
2.963; 3.830e-43
3.031; 3.521e-43
3.099; 3.243e-43
3.170; 2.995e-43
3.242; 2.720e-43
3.315; 2.568e-43
3.390; 2.394e-43
3.467; 2.230e-43
3.546; 2.092e-43
3.627; 1.958e-43
3.709; 1.847e-43
3.793; 1.719e-43
3.879; 1.644e-43
3.967; 1.557e-43
4.057; 1.476e-43
4.149; 1.430e-43
4.243; 1.376e-43
4.340; 1.319e-43
4.438; 1.274e-43
4.539; 1.235e-43
4.642; 1.206e-43
4.747; 1.177e-43
4.855; 1.155e-43
4.965; 1.127e-43
5.078; 1.114e-43
5.193; 1.100e-43
5.311; 1.090e-43
5.432; 1.082e-43
5.555; 1.078e-43
5.681; 1.083e-43
5.810; 1.085e-43
5.942; 1.083e-43
6.077; 1.094e-43
6.214; 1.107e-43
6.355; 1.118e-43
6.500; 1.136e-43
6.647; 1.154e-43
6.798; 1.169e-43
6.952; 1.194e-43
7.110; 1.222e-43
7.271; 1.245e-43
7.436; 1.275e-43
7.605; 1.308e-43
7.778; 1.337e-43
7.954; 1.375e-43
8.135; 1.417e-43
8.320; 1.455e-43
8.508; 1.500e-43
8.701; 1.546e-43
8.899; 1.592e-43
9.101; 1.640e-43
9.307; 1.696e-43
9.519; 1.747e-43
9.735; 1.801e-43
9.915; 1.852e-43
