0.12	9.49912e-37
0.13	1.08965e-37
0.14	3.33955e-38
0.15	1.50433e-38
0.16	8.36715e-39
0.17	5.32464e-39
0.18	3.7209e-39
0.19	2.78475e-39
0.2	2.1955e-39
0.21	1.80255e-39
0.22	1.52834e-39
0.23	1.32991e-39
0.24	1.18201e-39
0.25	1.06909e-39
0.26	9.81121e-40
0.27	9.11453e-40
0.28	8.55515e-40
0.29	8.10088e-40
0.3	7.72852e-40
0.31	7.42103e-40
0.32	7.1656e-40
0.33	6.95251e-40
0.34	6.77424e-40
0.35	6.6249e-40
0.36	6.49982e-40
0.37	6.39527e-40
0.38	6.30821e-40
0.39	6.23618e-40
0.4	6.17712e-40
0.41	6.12935e-40
0.42	6.09145e-40
0.43	6.06222e-40
0.44	6.04065e-40
0.45	6.01638e-40
0.46	5.96971e-40
0.47	5.88275e-40
0.48	5.74123e-40
0.49	5.53667e-40
0.5	5.2683e-40
0.51	4.94347e-40
0.52	4.57624e-40
0.53	4.18448e-40
0.54	3.78648e-40
0.55	3.39814e-40
0.56	3.03135e-40
0.57	2.69367e-40
0.58	2.38878e-40
0.59	2.11745e-40
0.6	1.87662e-40
0.61	1.66121e-40
0.62	1.46838e-40
0.63	1.29628e-40
0.64	1.14344e-40
0.65	1.00837e-40
0.66	8.89545e-41
0.67	7.85395e-41
0.68	6.94377e-41
0.69	6.14997e-41
0.7	5.45845e-41
0.71	4.8563e-41
0.72	4.3318e-41
0.73	3.87455e-41
0.74	3.47542e-41
0.75	3.12645e-41
0.76	2.82075e-41
0.77	2.55239e-41
0.78	2.31628e-41
0.79	2.10803e-41
0.8	1.92392e-41
0.81	1.76073e-41
0.82	1.61573e-41
0.83	1.48656e-41
0.84	1.3712e-41
0.85	1.26792e-41
0.86	1.17523e-41
0.87	1.09184e-41
0.88	1.01664e-41
0.89	9.48678e-42
0.9	8.87109e-42
0.91	8.31212e-42
0.92	7.80355e-42
0.93	7.33988e-42
0.94	6.91628e-42
0.95	6.52853e-42
0.96	6.17291e-42
0.97	5.84616e-42
0.98	5.54538e-42
0.99	5.26803e-42
1	5.01184e-42
1.1	3.26375e-42
1.2	2.34766e-42
1.3	1.81272e-42
1.4	1.47369e-42
1.5	1.24478e-42
1.6	1.08237e-42
1.7	9.6248e-43
1.8	8.71092e-43
1.9	7.9956e-43
2	7.42428e-43
2.1	6.96101e-43
2.2	6.58091e-43
2.3	6.26627e-43
2.4	6.0042e-43
2.5	5.78506e-43
2.6	5.60147e-43
2.7	5.4477e-43
2.8	5.31918e-43
2.9	5.21224e-43
3	5.12389e-43
3.1	5.05163e-43
3.2	4.99342e-43
3.3	4.9475e-43
3.4	4.91241e-43
3.5	4.88689e-43
3.6	4.86987e-43
3.7	4.86042e-43
3.8	4.85774e-43
3.9	4.86114e-43
4	4.87001e-43
4.1	4.88382e-43
4.2	4.9021e-43
4.3	4.92444e-43
4.4	4.95049e-43
4.5	4.97991e-43
4.6	5.01242e-43
4.7	5.04777e-43
4.8	5.08572e-43
4.9	5.12608e-43
5	5.16865e-43
5.1	5.21327e-43
5.2	5.2598e-43
5.3	5.30809e-43
5.4	5.35803e-43
5.5	5.40949e-43
5.6	5.46239e-43
5.7	5.51662e-43
5.8	5.5721e-43
5.9	5.62875e-43
6	5.6865e-43
6.1	5.74528e-43
6.2	5.80503e-43
6.3	5.8657e-43
6.4	5.92724e-43
6.5	5.98958e-43
6.6	6.05271e-43
6.7	6.11656e-43
6.8	6.1811e-43
6.9	6.2463e-43
7	6.31212e-43
7.1	6.37853e-43
7.2	6.44551e-43
7.3	6.51302e-43
7.4	6.58104e-43
7.5	6.64955e-43
7.6	6.71853e-43
7.7	6.78795e-43
7.8	6.85779e-43
7.9	6.92804e-43
8	6.99867e-43
8.1	7.06968e-43
8.2	7.14104e-43
8.3	7.21275e-43
8.4	7.28478e-43
8.5	7.35713e-43
8.6	7.42978e-43
8.7	7.50272e-43
8.8	7.57594e-43
8.9	7.64944e-43
9	7.72318e-43
9.1	7.79718e-43
9.2	7.87142e-43
9.3	7.9459e-43
9.4	8.02059e-43
9.5	8.0955e-43
9.6	8.17062e-43
9.7	8.24594e-43
9.8	8.32146e-43
9.9	8.39717e-43
10	8.47305e-43
11	9.24076e-43
12	1.00215e-42
13	1.08122e-42
14	1.16105e-42
15	1.24148e-42
16	1.32241e-42
17	1.40374e-42
18	1.4854e-42
19	1.56734e-42
20	1.64951e-42
21	1.73189e-42
22	1.81444e-42
23	1.89715e-42
24	1.97998e-42
25	2.06294e-42
26	2.14599e-42
27	2.22914e-42
28	2.31237e-42
29	2.39568e-42
30	2.47905e-42
31	2.56248e-42
32	2.64596e-42
33	2.7295e-42
34	2.81308e-42
35	2.89669e-42
36	2.98035e-42
37	3.06404e-42
38	3.14777e-42
39	3.23152e-42
40	3.3153e-42
41	3.39911e-42
42	3.48294e-42
43	3.56679e-42
44	3.65066e-42
45	3.73455e-42
46	3.81846e-42
47	3.90239e-42
48	3.98633e-42
49	4.07028e-42
50	4.15425e-42
